analysis_type,segment_value,first_sessions,view_item_sessions,add_to_cart_sessions,begin_checkout_sessions,purchase_sessions,view_item_reach_rate,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,sequential_purchase_rate
landing_by_source: google / organic,/Google+Redesign/Apparel/Hats,119,33,5,1,0,0.2773,0.1515,0.2,0.0,0.0
landing_by_source: google / organic,/Google+Redesign/Clearance,109,44,11,4,3,0.4037,0.25,0.3636,0.75,0.0275
landing_by_source: google / organic,/Google+Redesign/Accessories/Noogler+Android+Figure+2019,102,98,3,1,1,0.9608,0.0306,0.3333,1.0,0.0098
landing_by_source: shop.googlemerchandisestore.com / referral,/,1835,509,211,81,37,0.2774,0.4145,0.3839,0.4568,0.0202
landing_by_source: shop.googlemerchandisestore.com / referral,/Google+Redesign/Apparel,653,72,11,1,1,0.1103,0.1528,0.0909,1.0,0.0015
landing_by_source: shop.googlemerchandisestore.com / referral,/Google+Redesign/Shop+by+Brand/YouTube,406,90,18,3,0,0.2217,0.2,0.1667,0.0,0.0
landing_by_source: shop.googlemerchandisestore.com / referral,/Google+Redesign/Apparel/Google+Dino+Game+Tee,402,1,0,0,0,0.0025,0.0,,,0.0
landing_by_source: shop.googlemerchandisestore.com / referral,/store.html,233,18,4,1,1,0.0773,0.2222,0.25,1.0,0.0043
landing_by_source: shop.googlemerchandisestore.com / referral,/Google+Redesign/Apparel/Mens/Mens+T+Shirts,102,40,9,2,0,0.3922,0.225,0.2222,0.0,0.0
source_funnel,google / organic,30099,6966,1777,546,236,0.2314,0.2551,0.3073,0.4322,0.0078
source_funnel,direct / none,20588,4813,1278,426,169,0.2338,0.2655,0.3333,0.3967,0.0082
source_funnel,Other / Other,15302,3460,917,313,122,0.2261,0.265,0.3413,0.3898,0.008
source_funnel,Other / referral,8125,1916,470,145,61,0.2358,0.2453,0.3085,0.4207,0.0075
source_funnel,google / cpc,4696,1014,266,87,40,0.2159,0.2623,0.3271,0.4598,0.0085
source_funnel,shop.googlemerchandisestore.com / referral,4683,1151,300,109,52,0.2458,0.2606,0.3633,0.4771,0.0111
source_funnel,Other / organic,2765,646,137,40,14,0.2336,0.2121,0.292,0.35,0.0051
source_funnel,(not set) / (not set),797,350,87,31,20,0.4391,0.2486,0.3563,0.6452,0.0251
